tics,eigenvalues
tic1,0.9907254993935003
tic2,0.9410945746549122
tic3,0.9238466603850419
tic4,0.907795632340147
tic5,0.8709695958196532
tic6,0.8647122969692564
tic7,0.8040342756833554
tic8,0.7789932956223475
tic9,0.7417942533904185
tic10,0.7153304911460072
tic11,0.7145488580702881
tic12,0.6566538774705661
tic13,0.5983822171506996
tic14,0.5914571433738305
tic15,0.5661831875243428
tic16,0.5349433599577105
tic17,0.49908421786865265
tic18,0.4788211480065874
tic19,0.4626937156161618
tic20,0.42986033144140334
tic21,0.41607454986362735
tic22,0.3891457415616091
tic23,0.3783594006398807
tic24,0.3520932404812485
tic25,0.34095498430030624
tic26,0.3200782170314693
tic27,0.3171491561265377
tic28,0.2840356897859111
tic29,0.27927407344439237
tic30,0.274891944138024
tic31,0.26408416213108066
tic32,0.24720139155678642
tic33,0.24563496739938065
tic34,0.22958631319765554
tic35,0.20616105985078803
tic36,0.20377979087021503
tic37,0.18243318695709104
tic38,0.16242885990107286
tic39,0.15018065297423386
tic40,0.13188640330330653
tic41,0.12160418252011074
tic42,0.10440880479473302
tic43,0.08665068114344399
